Story Title,Date Published,Story Text,Related Service,Summary
ACL Reconstruction,yesterday,All of the physios have been a great help during my ACL reconstruction and rehabilitation.,About:Bideford Hospital / TherapiesBideford Hospital TherapiesBidefordEX39 3AG,"Sam Dudley Team Lead Physiotherapist (Northern Services), MSK Physiotherapy (Northern Services), Royal Devon University Healthcare NHS Foundation Trust More responses from Sam Submitted on 08/08/2025 at 17:15 Published on Care Opinion at 21:57 Share this response"
"Consistently attentive, compassionate, and highly professional",yesterday,"I would like to express my sincere thanks to the male medical team at Daisy Hill Hospital for the excellent care my father received during his stay. The nurses and care assistants were consistently attentive, compassionate, and highly professional. Their dedication and kindness provided great comfort to both my father and our family, and we are deeply grateful for the outstanding level of care they delivered.",About:Daisy Hill Hospital / 5 North (Male Medical)Daisy Hill Hospital 5 North (Male Medical)NewryBT35 8DR,What was good? attentive compassionate dedication excellence kindness level of care nurses professionalism staff How did you feel? comforted grateful happy supported thankful
we worked together,yesterday,"During my time on ward2, at the start of my Rehab journey I found some staff didn't understand my needs, but as we worked together everyone adjust and the understand was there. everyone has been kind, loving, caring & very helpful.A good experience overall.",About:Lurgan Hospital / Ward 2Lurgan Hospital Ward 2LurganBT66 8NX,What was good? care helpful kind understanding How did you feel? more confident
ADHD diagnosis and treatment,yesterday,"Many, many years ago I was diagnosed with Borderline personality disorder, however after years of struggling with virtually all aspects of my life things have finally changed.I went on the ADHD waiting list and after a long long wait due to the huge waiting times I finally had my diagnosis confirmed by a lovely young lady called Ocean from Ferham Clinic Rotherham.I then met a wonderful lady called Sadie who took time explaining the next steps to manage my new medication, I will admit that having turned 60 I had my doubts.So, day one, I took my first tablet and after 30/40 mins I thought this is not doing anything, then suddenly everything changed, I was actually listening to everything people were saying to me without butting in, changing the subject or picking up my phone, I was active again, no more fatigue and afternoon naps, I found myself doing all the jobs around the house that had been left for years, my family immediately noticed the change. I could go on and on.I would like to thank Sadie and Ocean from the bottom of my heart as without them I really wouldn't be the new person that I am now, I urge anyone to hang in there waiting to be seen as these people will change your life.",About:Neurodiversity Services / Rotherham ADHD teamNeurodiversity Services Rotherham ADHD teamRotherham,What was good? diagnosis explanation helpful staff support treatment How did you feel? thankful
Helpful support for Arfid,yesterday,"I have struggled with food pretty much all my life, therapy helped me work on my issues with food but also helped me in other areas like my anxiety around different things where food is involved like going out.I found therapy super helpful because even when I felt like I wasn’t making progress Anne helped with encouraging me that I was",About:Thurrock Services / Inclusion Thurrock Psychological Therapies ServiceThurrock Services Inclusion Thurrock Psychological Therapies ServiceRM17 6NB,What was good? encouraging helpful staff super support therapy How did you feel? encouraged supported
Swollen painful right foot,yesterday,"After a couple of falls and then further additional medication, my foot began to swell.  At first a wondered if it was the result of different medication.  Saw Practice Nurse who referred me to Cardiology, Foot Clinic, GP referred me to Physio Clinic.",About:Doncaster Royal Infirmary / CardiologyDoncaster Royal Infirmary CardiologyDN2 5LTDoncaster Royal Infirmary / Trauma and orthopaedicsDoncaster Royal Infirmary Trauma and orthopaedicsDN2 5LT,What was good? physio referrals service staff
Initial experience within mental health servives,yesterday,"I was recently referred to mental health services and I had the opportunity to meet with Simon. From the outset, Simon took the time to truly listen to me. He made me feel heard, understood, and validated — which was incredibly grounding during a time of heightened anxiety.What stood out most was Simon’s ability to summarise and reflect my thoughts and feelings with such accuracy and empathy. He created a space where I felt safe, respected, and not judged. As a social worker myself, it can feel difficult being on the other side of the table. However, Simon helped to break down that internal stigma, reassuring me that seeking help is not only okay, but necessary — even for those of us who work in the system.Simon’s compassion, professionalism, and calm presence left a lasting impact. I am grateful for the support he offered at a time I truly needed it.",About:Community Mental Health Teams / Newry South Armagh CMHTCommunity Mental Health Teams Newry South Armagh CMHTNewryBT35 8DR,What was good? compassion empathic person-centred professionalism reassuring How did you feel? calm grateful listened to reassured respected safe understood validated
A lovely nurse,yesterday,"Zoe from Victoria ward was amazing with my dad. The care, attention and compassion she showed was truly above and beyond her role.",About:North Devon District Hospital / CardiologyNorth Devon District Hospital CardiologyBarnstapleEX31 4JB,What was good? above and beyond compassion level of care staff
Staff are nice and welcoming,yesterday,"I have a regular prep appt.  I am very happy with the Cobridge sexual clinic. The Staff are ever so nice, make me feel welcome and keep the experience positive at all times during the visit. Some of the nurses even remember me, how nice is that! It’s 10/10 for me.",About:Sexual Health Services - North Staffordshire and Stoke-on-Trent (Open Clinic)Sexual Health Services - North Staffordshire and Stoke-on-Trent (Open Clinic)ST6 2JNhttps://openclinic.org.uk/clinics/cobridge-community-health-centre/,What was good? 10/10 experience nice staff nurses staff visit welcoming How did you feel? positive welcomed
Shoulder operation,yesterday,"I arrived at the hospital on time. I was administered without any problems and within an hour had my operation. The staff were welcoming,  professional,  helpful and friendly.",About:Trauma & orthopaedics / Orthopaedic National Treatment CentreTrauma & orthopaedics Orthopaedic National Treatment CentreKY2 5AH,"Tanya McBain Charge Nurse, National Treatment Centre  (orthopaedics), NHS Fife More responses from Tanya Submitted on 09/08/2025 at 09:37 Published on Care Opinion at 09:37 Share this response"
Antenatal,yesterday,"We had our first visit from the health visitor, Caroline, who went through everything that will happen for the rest of my pregnancy and was happy to answer any questions we had. She also asked questions about our personal lives which made us feel comfortable with her. She had a calm, warm and welcoming demeanour about her which made us feel at ease.",About:Children & Young People Physical Health / North Lincolnshire Health VisitorsChildren & Young People Physical Health North Lincolnshire Health VisitorsDN4 8QN,What was good? health visitor questions answered How did you feel? at ease calm comfortable welcomed
Got me on my feet,yesterday,"Staff name is Queen(csw) Queen was fantastic. Could not do enough for me, left me clean,bed clean everything perfect. Worked past her time.PhysioGave me my first shower lovely to be clean. Got me on my feet and out of bed.",About:Wythenshawe Hospital / GynaecologyWythenshawe Hospital GynaecologyManchesterM23 9LT,What was good? care helpful physio shower staff support How did you feel? thank you
Exercise classes during cancer treatment,yesterday,"I've just finished twelve weeks of exercise classes with Joe of Friends of the Cancer Centre. I had surgery for bowel cancer some months before starting, and I've been receiving chemotherapy throughout the period of the classes.All the exercises are well explained and demonstrated, and Joe provides good feedback and motivation to help you improve. They're tailored to the individual's condition, so nothing is too much to manage, but you can push hard enough that there's a sense of achievement. Along with the physical benefits, I've seen the positive effect on my mood of having a little accomplishment each week.Joe is really supportive in the classes, and in making sure you've got the next class lined up when it suits you; it seems like a small thing, but it's one less worry!Before this, I wasn't sure that a group exercise class was for me, but now I would recommend it to anyone. At a time when I've struggled with fatigue and a lack of motivation, it has been a great help to me, physically and mentally.",About:Oncology / Physical Activity ClassesOncology Physical Activity ClassesBelfastBT9 7AB,What was good? exercises explanation feedback helpful staff How did you feel? motivated positive supported
Recovery,yesterday,My support worker Chloe helped me get recovered very helpful. I felt very happy with the recovery and still going strong . Very helpful.,About:Inclusion Recovery Hampshire / EastleighInclusion Recovery Hampshire EastleighSO50 5LG,What was good? helpful support worker How did you feel? happy thank you well looked after
Care when on holiday,yesterday,"I was visiting my family in Northern Ireland for two weeks when I developed an infection that progressively got worse. I was in a lot of pain and ended up needing to see the surgical team for an abscess to be drained twice. Despite not having a GP to go to I was taken care of efficiently and thoroughly.Initially my visit to A&E was quick, efficient and all of the doctors and nurses treated me with such kindness and sensitivity. It was clear what was happening at all times, who I needed to speak to and why the surgical team were getting involved. The abscess was unfortunately located in an intimate area but all of the medical staff were very discrete and professional, never adding to my embarrassment and treating me with care and kindness.I was then seen by the surgical team who came down to A&E within an hour which was brilliant. Their bedside manner (Hannah in particular, I cannot express how much her kindness helped) was excellent and I was put at ease when experiencing a lot of pain and discomfort. I was given lots of clear information on how to handle after care and all of my potentially silly questions were answered thoroughly.I returned to Surgical 1 CSAU a few days later and was very quickly seen to. Hannah had remembered me from the previous visit and showed me where to go. Again I was so impressed by all of the staff who treated me. I was given excellent advice and plenty of supplies to help the infection heal fully and quickly. Bedside manner and measures taken to make me feel comfortable and respected were amazing. One nurse even brought me an extra sheet to help me feel less exposed even though there was no one else in the room, that was really thoughtful. I’m sorry I can’t remember her name but she was getting her full licence soon so I wish her good luck!Thank you again to everyone who helped me avoid complete disaster on my holiday and for the excellent care I received.",About:Causeway Hospital / Accident & EmergencyCauseway Hospital Accident & EmergencyBT52 1HSCauseway Hospital / Surgical 1Causeway Hospital Surgical 1BT52 1HS,What was good? bedside manner communication doctors efficient information kindness nurses prompt sensitivity surgical team How did you feel? grateful in pain put at ease
Does a marvelous job,yesterday,I would like to talk about Wendy at Amanda’s Podiatry who looks after my toenailsI am so grateful to her how well she looks after me is so easy to talk to and does a marvelous job for meGod bless her and I think she is wonderful,About:Fife Community Services / PodiatryFife Community Services Podiatry,What was good? easy to talk to staff How did you feel? grateful
Made to feel at ease,yesterday,I visited for a genital wart. I was nervous but the nurse made me feel at ease.,About:Sidwell Street Clinic / Exeter Sexual HealthSidwell Street Clinic Exeter Sexual HealthExeterEX4 6NN,What was good? nurse staff How did you feel? at ease nervous
Breastfeeding support,yesterday,"I just wanted to highlight the great work of the infant feeding advisors in Tayside. They provided me with invaluable support for both children when I had trouble in the early and not so early days with feeding.We had quite a few issues feeding my daughter, but persevered and fed her for a year in the end (with it getting much easier as time went on). So I was apprehensive for feeding my newborn this time around, but the infant feeding advisors have been a great help, with over the phone and in person support in the early days.They provided an invaluable service around Tayside!",About:Community Services / Breastfeeding Support WorkersCommunity Services Breastfeeding Support Workers,What was good? advice friendly staff support How did you feel? listened to thank you
Efficient but really friendly,yesterday,"Just wanted to say that the general ambience was welcoming, particularly due to nurses Jenny and Cheryl. Efficient but really friendly.When we saw the ophthalmologist, Dr. Thomas, we were so impressed with her finding a potentially serious problem, and with the time that she afforded to us, even though it was at the end of the working day.Her delivery of what was potentially pretty bad news was sensitive and understanding to our age and situation.She continued to investigate and notified us as soon as possible, of the outcome of the investigation. We are so very grateful to her for her expertise, her empathy and her genuine interest in my husband’s case.Thank you so much.",About:North Devon District Hospital / OphthalmologyNorth Devon District Hospital OphthalmologyBarnstapleEX31 4JB,What was good? efficient empathy expertise friendly level of care sensitive understanding How did you feel? grateful impressed relieved now thankful very grateful welcomed
Caring and sympathetic,yesterday,"A fantastic caring and sympathetic Doctor, Sophie,  immediately put me at ease. A great experience all round. I came away feeling so much better- it might have been the injection in the but or it's the placebo of seeing such a excellent Dr.",About:Sidwell Street Clinic / Exeter Sexual HealthSidwell Street Clinic Exeter Sexual HealthExeterEX4 6NN,What was good? caring doctor great experience staff sympathetic How did you feel? cared for fantastic put at ease
Getting my bloods done,yesterday,I have to say a big thank you to Jeanie at Newtownards blood clinic. I have a big fear of needles and very difficult veins to get blood from so every 3 weeks I go through a nightmare as my arm gets pearced several times until Jeanie comes along and always does it first time. She's my angel!,About:District Nursing / Newtownards District NursingDistrict Nursing Newtownards District NursingLisburnBT28 3BP,What was good? nurse skilled How did you feel? thank you
Really impressed by the service,yesterday,"Just really impressed by the service we have received for my husband, in just three days we had someone come to the house, assess and do alterations to my husbands chair so it better suits his needs.  It was Ian that did the altering. Excellent service and all really friendly and polite.",About:Community Services (Adult Physical Health) / Therapy Hub - Occupational Therapy DoncasterCommunity Services (Adult Physical Health) Therapy Hub - Occupational Therapy DoncasterDN4 8QN,What was good? equipment friendly OT service staff How did you feel? impressed
Physiotherapy,yesterday,"Very grateful to the two ladies, Karien and Tina.  Very helpful and gave useful advice.",About:North Hampshire Community Therapy TeamNorth Hampshire Community Therapy TeamBasingstokeRG21 4AP,What was good? advice helpful physiotherapy staff How did you feel? well looked after
Superb patient care by true professionals,yesterday,"I recently attended the RD&E hospital in Exeter to undergo an infected tooth root extraction in the Maxillofacial facility. My regular dentist was unwilling to carry out the procedure.The team of Souad, Debra, Layne and especially Marco, who performed the surgery, were totally professional, informed, competent and a credit to themselves and the NHS.I could not have received better treatment even if I had utilised a private clinic and I would be obliged if you could pass on my comments to the team in question and their respective managers.",About:Royal Devon & Exeter Hospital (Wonford) / Oral & Maxillofacial SurgeryRoyal Devon & Exeter Hospital (Wonford) Oral & Maxillofacial SurgeryEX2 5DW,"Laura Knight Senior Specialist Dental Nurse (Eastern Services), Oral Maxilliofacial Surgery and Orthodontics (Eastern Services), Royal Devon University Healthcare NHS Foundation Trust More responses from Laura Submitted on 08/08/2025 at 17:35 Published on Care Opinion at 17:35 Share this response"
Annual check-up,yesterday,"Nurse Linda at Brechin clinic is very nice, quite confident and knowledgable.  She answered my questions and listened to me, she made me relaxed.",About:General practices in TaysideGeneral practices in Tayside,What was good? knowledgeable listening How did you feel? confident relaxed thank you
Seeking Therapy due to anxious thoughts and overwhelm,yesterday,"I reached out to Inclusion Thurrock after expressing to my GP that I was feeling increasingly down, anxious, and worried and it was affecting my day to day, and she told me how to self refer on their website (it was very easy!). It took a lot of courage, I was sure there were people out there more deserving of therapy than me. Looking back, I really did need it.My therapist, Emily, has been so unwaveringly patient and kind, there wasn’t a single moment I felt judged or like I didn’t belong. In fact, she consistently and genuinely validated every feeling I expressed, helped me work out why I felt that way, whilst always challenging my perspective and slowly helping to re-program the way I think.I was given small activities to try every week. I must admit, at the time these felt a bit tedious and I struggled to see what I could be learning from them, but you really must trust the process. I was laying the foundation for what would become a new way of thinking, and I still regularly refer to these exercises today.Therapy hasn’t cured my anxiety, I still worry, I still have moments where I feel down. But thanks to therapy, I have the skills to prevent these thoughts, and I know how to challenge them when they do occur.Thank you to Inclusion Thurrock for providing this amazing service, and special thanks to Emily for being so professional and helpful.",About:Inclusion Thurrock (Talking Therapies)Inclusion Thurrock (Talking Therapies)RM17 6NB,What was good? activities helpful kindness non-judgemental patience professional skills therapist How did you feel? thankful validated
Heart attack,yesterday,"Where do I start, on 16th July I suffered a heart attack in my own home.I'm a 47 year old fit male and felt sick (cold sweats) and phoned my mum and brother who rushed to the house. They phoned 999 and the support and advice from them was a big reason I'm able to write this!The speed that the ambulance got here and the professionalism of the staff, this was all done in front of my wife and kids and they remained calm and kept my family calm.I was Blue lighted to the Royal and taken straight into surgery where I had a blockage removed and Stent fitted. (Approx. 2.5 hrs from the call was made to 999 and surgery completed) The speed of everything saved my life!I remained in The Royal for 1 night and transferred to Daisy Hill for a further 4 nights for recovery.From the bottom of my heart I cant thank the Staff enough, From the 999 call operators to health care assistants who fed and watered me, not forgetting the ambulance staff, surgeons and their team, aftercare provided by nurses, doctors and consultants at the Royal and Daisy Hill.A special thank you from me to all of you for saving my Life!!",About:Daisy Hill Hospital / Coronary CareDaisy Hill Hospital Coronary CareBT35 8DRNorthern Ireland Ambulance Service / Emergency ambulance responseNorthern Ireland Ambulance Service Emergency ambulance responseBelfastBT8 8SGRoyal Victoria Hospital / Accident & EmergencyRoyal Victoria Hospital Accident & EmergencyBT12 6BA,What was good? aftercare ambulance crew care emergency care professionalism speedy staff How did you feel? calm grateful well looked after
Very reassuring appointment at haematology outpatients RBHSC,yesterday,"We had an initial appointment with our son who has been diagnosed with a bleeding disorder. Everyone was so kind and helpful right from we went in. The facilities at the outpatients department was great, our 6 month son loved looking at the fish and the pictures in the walls. Patricia the SW introduced herself to us and straight away put us at ease. Dr Catherine explained everything very thoroughly and allowed us to ask questions. We were also introduced to Claire (OT) and Francie (physio). Sarah the specialist nurse was also very informative and offered reassurance. It’s great to know our son will be followed up under a professional, caring and compassionate MDT. This has really helped both my husband and I to feel equipped to best care for our son.",About:Royal Belfast Hospital for Sick children / Haematology UnitRoyal Belfast Hospital for Sick children Haematology UnitBT12 6BA,"Sinead Duffin Service manager, SPECIALIST HOSPITALS & WOMEN'S HEALTH, Belfast HSC Trust More responses from Sinead Submitted on 08/08/2025 at 16:59 Published on Care Opinion at 16:59 Share this response"
My Detox,yesterday,"I am detoxing on willow ward Liskeard community hospital.Everything and everyone have been  fantastic.  The staff are friendly,  professional and nothing is too much trouble.  They are all willing  to listen at anytime day or night.The food  is good and plentiful.I feel that the NHS staff  don't get  the credit  they deserve.A massive thank you to one and all.",About:Liskeard Community Hospital / Willow WardLiskeard Community Hospital Willow WardLiskeardPL14 3XD,What was good? food friendly great team nothing too much trouble professional staff How did you feel? listened to thankful
Child Tonsillectomy,yesterday,"My son was admitted to Victoria Hospital, Kirkcaldy, yesterday for a tonsillectomy and our experience was very positive. From the minute we arrived on the ward the nursing staff and doctors were so attentive and warm. We were particularly impressed with Jill, the play nurse, who reassured both of us every step of the way.The operation was explained to Harris in a child friendly way which he understood and knew what to expect. This really reassured him. He was looked after so well throughout the whole experience- thank you!","About:Victoria Hospital / Ear, Nose & ThroatVictoria Hospital Ear, Nose & ThroatKY2 5AH",What was good? child friendly doctors excellent staff excellent standard of care friendly nurses reassuring supportive ward staff warm How did you feel? cared for informed looked after reassured safe
The care and support of staff,yesterday,"I passed out resulting in a bad fall resulting in smashed teeth and badly hurt face/nose , the ambulance staff were very kind and patient, the nurses were also kind , the only complaint I had were the CT scan staff very abrupt, ….. I am totally tea total and a non smoker also ,,,, as I had been there all day a little bite to eat was offered and I told her I was vegetarian she went and got me something suitably which was  much appreciated . THANKYOU",About:Antrim Area Hospital / Falls PreventionAntrim Area Hospital Falls PreventionBT41 2RLAntrim Area Hospital / X-Ray DepartmentAntrim Area Hospital X-Ray DepartmentBT41 2RLNorthern Ireland Ambulance Service / Emergency ambulance responseNorthern Ireland Ambulance Service Emergency ambulance responseBelfastBT8 8SG,"Rebecca Getty Assistant Director Diagnostic & Clinical Services, Surgical & Clinical Services, NHSCT More responses from Rebecca Submitted on 09/08/2025 at 10:05 Published on Care Opinion at 10:05 Share this response"
I was made to feel so at ease,yesterday,"I had a procedure carried out Whiteabby endoscopy unit and from the reception to the admission to the procedure carried out to the recovery facility it was excellent.I was made to feel so at ease, everything was explained fully and all medical checks done professionally.I would like to just add a massive thank you to;Rachel.kelly.Nina.RenanDr HowardAnd to everyone else involved in my care.",About:Whiteabbey Hospital / Endoscopy ServicesWhiteabbey Hospital Endoscopy ServicesBT37 9RH,What was good? excellent care explanation great team professional staff treatment How did you feel? at ease thankful
My wife's Dementia,yesterday,Just had her yearly check up from Karen. Who was very professional kind and friendly. It's a massive help too know that you have help at hand if you ever need it.,About:Community Services - (OPMH) / Doncaster Young Onset Dementia ServiceCommunity Services - (OPMH) Doncaster Young Onset Dementia ServiceDoncasterDN4 8QN,What was good? check up dementia care professional staff support How did you feel? grateful thank you
My prostate cancer treatment,yesterday,Four weeks Mon to Friday daily radiotherapy  at Aberdeen Royal Infirmary.Nervous at first but soon put at ease by excellent staff and fellow patients.,About:Aberdeen Royal Infirmary / RadiotherapyAberdeen Royal Infirmary RadiotherapyAB25 2ZNDr Gray's Hospital / Oncology / Cancer PathwayDr Gray's Hospital Oncology / Cancer PathwayIV30 1SN,What was good? staff the whole experience How did you feel? put at ease
Going into hospital for hernia operation,yesterday,"Managed to get a cancellation for my hernia operation . I was asked to attend a pre-assessment  at Victoria Hospital in Kirkcaldy. I was greeted immediately on turning up  and my nurse was Andrea we did all the paperwork and everything was explained fully - I had blood pressure check height and weight and bloods taken then an ECG.My appointment was in Queen Margaret Hospital in Dunfermline. I was admitted and all the checks from the nurse, anaesthetic nurse and surgeon again all explained, they were very thorough at every stage asking my name DOB etc even in operating theatre.My care was exemplary from pre assessment to discharge  being involved all the time . Massive thank you to all the medical staff who had any involvement in my hospital stay, it was a day bed and I am now back home recovering, sore but knew that would be the case.",About:Queen Margaret Hospital / Day SurgeryQueen Margaret Hospital Day SurgeryKY12 0SUVictoria Hospital / Pre-assessmentVictoria Hospital Pre-assessmentKirkcaldyKY2 5AH,What was good? level of care staff thorough How did you feel? apprehensive reassured thankful
Colonoscopy,yesterday,"Certainly not the way i wished to spend the day but the care received was perfect.  However, the instuctions and documentation given beforehand is like something from the war times!!  It was not very clear and has confusing and contradicting information.  I think it could do with updating to reflect modern foodstuffs and explain that certain dyes, colourings in foods etc can affect the outcome of the procedure.",About:Antrim Area Hospital / Endoscopy SuiteAntrim Area Hospital Endoscopy SuiteBT41 2RL,What was good? level of care What could be improved? information
Audiology check,yesterday,"Lovely young lady carried it out, she was brilliant, very kind and friendly.  brilliant.",About:South Tyrone Hospital / Audiology ServiceSouth Tyrone Hospital Audiology ServiceDungannonBT71 4AU,What was good? friendly kindness staff
It makes such a difference to be treated this way,yesterday,"Arrived on a busy Friday afternoon for x-rays of lower back. Presented my paperwork and was told there would be a greater wait than normal due to staff shortages. Apologies were given.... not just once but many times, to everyone.When taken for x ray, about half an hour later, waiting gowned in the side room, I was continuously checked to see that I was ok. This was a very caring attitude and was displayed throughout my visit.X ray staff also were very polite and considerate.I would like to thank the staff in this department for their care - always caring whenever I have had to visit.I only wish other Glasgow hospitals demonstrated the same care and concern, even when working in difficult conditions - overstretched for staff, overworked and underpaid.Thank you x ray department. It makes such a difference to be treated this way.",About:New Stobhill Hospital / Xray and ScansNew Stobhill Hospital Xray and ScansGlasgowG21 3UW,"Lorraine Bell Site Superintendent Radiographer, Glasgow Royal Infirmary; New Stobhill Hospital and Glasgow Dental Hospital, NHS Greater Glasgow and Clyde More responses from Lorraine Submitted on 08/08/2025 at 16:43 Published on Care Opinion at 16:43 Share this response"
Wonderful care and reassurance,yesterday,"I had to go to Causeway recently for a colonoscopy, I was already nervous and anxious what would show. I got my gown on and a lovely nurse Philipa came to get me and introduced me to everyone in the room. They gave me sedation which doesn't put you properly asleep but makes it slightly easier.I had a lovely nurse Hannah next to me the entire time who kept checking in, took my mind off the procedure and ensured the doctor knew when I was in pain so he gave me something again for it, I hadn't even said anything but she picked up on my discomfort and asked me about it and I then felt him giving me something more. She reassured me a lot of patients get sedation for colonoscopies and explained things throughout.The procedure was fine, uncomfortable yes but everyone in the room made me feel so reassured and safe. They knew what they were doing.After I was wheeled into the recovery area where a lovely nurse got me tea and toast which was the best thing after fasting!The nurse next to me turns out to be a student nurse, she checked in with me in recovery again and I really appreciated her genuine care and kind nature. She asked if there was anything she could have done differently to support me throughout the procedure and I said no, but I wanted to write a comment to emphasise it made a vulnerable procedure much easier to get through. Much appreciated care from the entire day procedure unit I came into contact with. Where would we be without you all?",About:Causeway Hospital / Day Procedure UnitCauseway Hospital Day Procedure UnitBT52 1HS,What was good? explanation helpful kindness level of care nurses How did you feel? appreciative nervous reassured safe supported
Improved balance and confidence,yesterday,I have MS and at home physiotherapy and the exercises Adam gave me to help improve my strength in my legs and my over all balance has improved my confidence when moving about. I have a plan moving forward and have seen the benefit of continuing these exercises.,About:Mid Hampshire Community Therapy TeamMid Hampshire Community Therapy Team,What was good? balance helpful improvement physio staff How did you feel? more confident
Gynaecology appointment,yesterday,"I would like to say that I really appreciated the way I was treated, the customer care and service was quite overwhelming and praise is due to them all, they really care for their patients.",About:Perth Royal Infirmary / GynaecologyPerth Royal Infirmary GynaecologyPH1 1NX,NHS Tayside More responses from NHS Tayside Submitted on 08/08/2025 at 16:44 Published on Care Opinion at 16:44 Share this response
Excellent care,yesterday,"Mr Gupta stayed late to undertake laser treatment, on the same day as an annual check up appointment, to ensure it was completed as soon as possible.",About:Mater Hospital / Macular UnitMater Hospital Macular UnitBT14 6AB,"Laura Reut Ophthalmology Assistant Service Manager for Macular and Glaucoma Services, Ophthalmology Mater Hospital, Belfast Health & Social Care Trust More responses from Laura Submitted on 08/08/2025 at 16:29 Published on Care Opinion at 16:29 Share this response"
